[2026-03-28T10:02:25.265Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_bae88007._.js → 200 (4ms, 671B)
[2026-03-28T10:02:25.265Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → 200 (62ms, 1046576B)
[2026-03-28T10:02:25.265Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js → 200 (15ms, 169624B)
[2026-03-28T10:02:25.265Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js → 200 (63ms, 802042B)
[2026-03-28T10:02:25.265Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js → 200 (18ms, 144411B)
[2026-03-28T10:02:25.265Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_aaee43fe._.js → 200 (38ms, 642596B)
[2026-03-28T10:02:25.265Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_7a8122d0._.js → 200 (36ms, 205661B)
[2026-03-28T10:02:25.265Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js → 200 (22ms, 1979B)
[2026-03-28T10:02:25.265Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (21ms, 783B)
[2026-03-28T10:02:25.265Z] GET http://localhost:3000/_next/static/chunks/turbopack-_45210fd5._.js → 200 (36ms, 73896B)
[2026-03-28T10:02:25.265Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_094231d7._.js → 200 (37ms, 119301B)
[2026-03-28T10:02:25.265Z] GET http://localhost:3000/_next/static/chunks/app_icon_png_mjs_3b2c48cf._.js → 200 (37ms, 262B)
[2026-03-28T10:02:25.265Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_c8525d27._.js → 200 (62ms, 190020B)
[2026-03-28T10:02:25.266Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40solana_7756c642._.js → 200 (61ms, 137455B)
[2026-03-28T10:02:25.266Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40solana-program_token_dist_src_index_mjs_2c09a0b9._.js → 200 (62ms, 211533B)
[2026-03-28T10:02:25.266Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40solana-program_token-2022_dist_src_index_mjs_77533f1c._.js → 200 (70ms, 802370B)
[2026-03-28T10:02:25.266Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40solana-program_stake_dist_src_index_mjs_6d9bc33b._.js → 200 (67ms, 138082B)
[2026-03-28T10:02:25.266Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40solana_client_dist_index_browser_mjs_c7f7fd2a._.js → 200 (69ms, 160949B)
[2026-03-28T10:02:25.266Z] GET http://localhost:3000/_next/static/chunks/node_modules_fe3a2a46._.js → 200 (103ms, 1139969B)
[2026-03-28T10:02:25.266Z] GET http://localhost:3000/_next/static/chunks/app_916057c3._.js → 200 (67ms, 73911B)
[2026-03-28T10:02:25.266Z] GET http://localhost:3000/_next/static/chunks/app_layout_tsx_78cdd4a3._.js → 200 (62ms, 800B)
[2026-03-28T10:02:25.266Z] GET http://localhost:3000/_next/static/chunks/app_e7d80e30._.js → 200 (96ms, 409978B)
[2026-03-28T10:02:25.266Z] GET http://localhost:3000/_next/static/chunks/node_modules_recharts_es6_33d13f0c._.js → 200 (104ms, 1098364B)
[2026-03-28T10:02:25.266Z] GET http://localhost:3000/_next/static/chunks/node_modules_9c35e7e4._.js → 200 (104ms, 852058B)
[2026-03-28T10:02:25.266Z] GET http://localhost:3000/_next/static/chunks/app_dashboard_page_tsx_6959ca5d._.js → 200 (70ms, 348B)
[2026-03-28T10:02:25.266Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_78cdd4a3.js → 200 (70ms, 206B)
[2026-03-28T10:02:25.280Z] GET http://localhost:3000/_next/image?url=%2Flogo.png&w=32&q=75 → 304 (57ms, ?B)
[2026-03-28T10:02:25.335Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (27ms, 15433B)
[2026-03-28T10:02:25.335Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_f26f265a._.js → 200 (27ms, 288B)
[2026-03-28T10:02:25.369Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-03-28T10:02:25.378Z] POST https://api.devnet.solana.com/ → pending (?ms, ?B)
[2026-03-28T10:02:25.438Z] POST https://api.devnet.solana.com/ → pending (?ms, ?B)
[2026-03-28T10:02:36.191Z] GET http://localhost:3000/settlement → 200 (228ms, 30201B)
[2026-03-28T10:02:36.422Z] GET http://localhost:3000/_next/static/media/70bc3e132a0a741e-s.p.15008bfb.woff2 → 200 (?ms, ?B)
[2026-03-28T10:02:36.423Z] GET http://localhost:3000/_next/static/media/83afe278b6a6bb3c-s.p.3a6ba036.woff2 → 200 (?ms, ?B)
[2026-03-28T10:02:36.423Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__7a9a3280._.css → 200 (4ms, 53764B)
[2026-03-28T10:02:36.423Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_bae88007._.js → 200 (3ms, 671B)
[2026-03-28T10:02:36.423Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → pending (?ms, ?B)
[2026-03-28T10:02:36.423Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js → 200 (14ms, 169624B)
[2026-03-28T10:02:36.423Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js → pending (?ms, ?B)
[2026-03-28T10:02:36.423Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js → 200 (17ms, 144411B)
[2026-03-28T10:02:36.424Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_aaee43fe._.js → pending (?ms, ?B)
[2026-03-28T10:02:36.424Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_7a8122d0._.js → 200 (21ms, 205661B)
[2026-03-28T10:02:36.424Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js → 200 (20ms, 1979B)
[2026-03-28T10:02:36.424Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (20ms, 783B)
[2026-03-28T10:02:36.424Z] GET http://localhost:3000/_next/static/chunks/turbopack-_45210fd5._.js → pending (?ms, ?B)
